INVENTORY_ID,PRODUCT_ID,WAREHOUSE_ID,STOCK_LEVEL,RESTOCK_DATE,SUPPLIER_ID,STORAGE_CONDITION,INVENTORY_STATUS,LAST_AUDIT_DATE,REORDER_LEVEL,QUANTITY_IN_STOCK,RATING,SALES_VOLUME,WEIGHT,DISCOUNTS,SAFETY_STOCK,AVERAGE_MONTHLY_DEMAND,LAST_RESTOCK_DATE,NEXT_RESTOCK_DATE
17711,prod-00662,39,2066,2024-12-21,87,Temperature Controlled,in-stock,2024-08-26 14:56:40.712 Z,398,2066,"3,184373667957300",4034,"10,338808861196200","4,440222271231210",411,541,2024-07-16,2025-02-20
18101,prod-00662,18,2475,2024-05-15,22,Temperature Controlled,backordered,2024-06-14 14:56:40.716 Z,525,2475,"4,214071652328630",8380,"19,4799225774928","10,87346261784070",404,115,2023-12-17,2024-07-18
3,prod-00541,31,958,2024-10-10,63,Ambient,in-stock,2024-07-30 14:56:40.567 Z,214,958,"2,821539495577750",4943,"39,35818087009160","29,378667909968400",496,127,2024-08-12,2024-12-19
135,prod-00541,9,3474,2024-01-09,42,Frozen,in-stock,2024-03-16 14:56:40.568 Z,712,3474,"2,970944229325820",5827,"21,2631522196721","28,174223793646800",142,250,2023-10-12,2024-03-09
848,prod-00541,39,3879,2024-08-10,52,Ambient,in-stock,2024-06-05 14:56:40.572 Z,611,3879,"4,605636576762920",5092,"20,15011236142340","25,756649536984200",421,921,2024-04-04,2024-09-30
853,prod-00541,14,2360,2024-02-19,57,Temperature Controlled,in-stock,2024-08-15 14:56:40.572 Z,724,2360,"1,5548460149293200",5896,"36,35779378396460","2,1406793490004800",97,822,2023-09-13,2024-04-23
1097,prod-00541,34,2546,2024-03-19,51,Ambient,in-stock,2024-03-09 14:56:40.573 Z,630,2546,"2,145809778521670",3141,"48,621593965958000","16,619493337317400",361,311,2024-01-15,2024-05-24
1636,prod-00541,24,591,2024-07-06,89,Ambient,backordered,2024-05-01 14:56:40.576 Z,926,591,"3,9453405766820000",2781,"1,2860282760573900","13,68167200474000",147,435,2024-02-27,2024-09-03
2032,prod-00541,36,3908,2024-05-31,27,Frozen,backordered,2024-08-08 14:56:40.578 Z,300,3908,"2,126550904781120",1415,"34,11077647467520","29,138878893070100",219,270,2024-05-01,2024-08-04
2111,prod-00541,9,4660,2024-08-05,8,Frozen,backordered,2024-07-15 14:56:40.578 Z,982,4660,"1,5414819621298300",5296,"22,21679333820380","21,12390053119160",178,672,2024-05-17,2024-10-08
2169,prod-00541,34,3814,2024-02-20,56,Temperature Controlled,in-stock,2024-03-14 14:56:40.579 Z,481,3814,"4,340193570541260",4399,"25,180736599246700","3,6199001731223100",83,548,2023-10-27,2024-04-11
2746,prod-00541,12,953,2024-03-29,18,Temperature Controlled,in-stock,2024-04-01 14:56:40.581 Z,76,953,"4,228919381867430",1998,"49,25947344971340","2,9271337657626900",465,861,2024-02-23,2024-06-25
3054,prod-00541,31,1408,2024-08-21,53,Temperature Controlled,backordered,2024-03-03 14:56:40.583 Z,609,1408,"4,470229319909580",912,"25,746919203775200","15,530014438876800",292,423,2024-04-06,2024-11-06
3991,prod-00541,3,942,2024-02-03,42,Temperature Controlled,in-stock,2024-07-20 14:56:40.588 Z,883,942,"4,581539247938660",4678,"20,68079937914170","22,072441219541000",329,976,2023-09-25,2024-03-19
5501,prod-00541,10,1766,2024-02-25,96,Temperature Controlled,backordered,2024-06-29 14:56:40.601 Z,874,1766,"3,3938661093170700",9470,"6,584315898981790","23,09251657900260",276,200,2023-11-24,2024-04-05
5860,prod-00541,22,2493,2024-11-07,82,Temperature Controlled,backordered,2024-03-12 14:56:40.605 Z,788,2493,"2,835528328634930",1786,"28,544681995413900","9,70162188267295",400,789,2024-08-15,2024-12-22
7041,prod-00541,5,1798,2024-09-05,35,Ambient,in-stock,2024-06-04 14:56:40.615 Z,648,1798,"1,9243406011338200",5421,"40,18021531185810","17,643195613665000",136,536,2024-06-30,2024-10-27
7249,prod-00541,39,2510,2024-11-09,18,Frozen,backordered,2024-06-27 14:56:40.617 Z,245,2510,"2,2751282122336800",5669,"9,037501510376450","5,234208099415230",450,36,2024-06-01,2024-12-10
10409,prod-00541,40,1724,2024-06-12,54,Ambient,backordered,2024-07-13 14:56:40.646 Z,200,1724,"2,959596178172330",5112,"43,6434225105351","15,598439913057300",311,203,2024-02-09,2024-08-24
10470,prod-00541,33,3081,2024-03-11,34,Ambient,backordered,2024-06-05 14:56:40.647 Z,553,3081,"2,6348066389387600",5136,"15,961662645355500","28,00182355847480",302,601,2024-01-17,2024-04-16
11104,prod-00541,35,1595,2024-10-24,14,Temperature Controlled,in-stock,2024-03-24 14:56:40.652 Z,152,1595,"3,169302302737370",6774,"22,495995257937000","26,49294666856650",110,200,2024-09-01,2024-11-24
12648,prod-00541,9,4756,2024-04-30,1,Ambient,in-stock,2024-08-24 14:56:40.662 Z,465,4756,"3,2396371316263400",5177,"19,458727914200100","9,132591988710890",418,360,2023-11-03,2024-06-08
12670,prod-00541,5,332,2024-06-04,97,Frozen,backordered,2024-06-17 14:56:40.662 Z,164,332,"4,882075882491230",9675,"2,548915306097850","21,701075369133000",358,719,2024-03-18,2024-08-22
12897,prod-00541,40,2627,2024-03-06,70,Ambient,backordered,2024-03-13 14:56:40.663 Z,296,2627,"1,6485311784641600",1716,"30,111207825889100","18,495580163095200",211,263,2023-12-30,2024-04-22
14290,prod-00541,33,1534,2024-02-10,43,Frozen,in-stock,2024-03-08 14:56:40.671 Z,204,1534,"4,6547110566131200",1235,"41,182748266935100","9,110054198260810",231,323,2023-12-01,2024-03-23
15135,prod-00541,13,4056,2024-06-19,30,Frozen,backordered,2024-08-15 14:56:40.676 Z,783,4056,"3,8251568745416100",4284,"11,453659115613600","18,564529483735700",224,658,2024-04-24,2024-08-15
17693,prod-00541,26,1727,2024-05-25,84,Ambient,backordered,2024-04-17 14:56:40.712 Z,722,1727,"3,4867539477659600",9178,"5,872231050127520","12,60354693719980",409,984,2023-12-22,2024-08-08
17737,prod-00541,35,1213,2024-11-13,48,Frozen,in-stock,2024-04-28 14:56:40.713 Z,890,1213,"1,956316575868740",9472,"0,8043634075376140","22,228431867384300",438,202,2024-09-19,2025-01-11
17844,prod-00541,6,1977,2024-06-02,65,Ambient,backordered,2024-05-07 14:56:40.714 Z,424,1977,"1,6546607836721900",7940,"43,7141596518772","13,858012816305700",36,242,2024-03-25,2024-07-09
18365,prod-00541,41,4511,2024-09-19,75,Frozen,backordered,2024-03-12 14:56:40.718 Z,462,4511,"1,8052780987911600",6823,"35,58095916258740","24,876113052757000",34,780,2024-04-19,2024-10-31
4,prod-00610,24,3090,2024-03-29,24,Frozen,in-stock,2024-08-22 14:56:40.567 Z,845,3090,"4,940871317920210",3313,"43,5003746220772","2,8328666522978000",379,987,2024-01-15,2024-05-30
1340,prod-00610,28,4374,2024-11-21,69,Ambient,backordered,2024-05-08 14:56:40.574 Z,330,4374,"1,748230086574350",9669,"24,13998454426610","29,686185263548200",349,827,2024-09-25,2025-01-24
1458,prod-00610,29,1179,2024-08-05,98,Ambient,in-stock,2024-07-28 14:56:40.575 Z,895,1179,"4,94458366218106",7683,"44,58219346369770","14,960695321182400",492,779,2024-07-01,2024-10-17
2137,prod-00610,49,4521,2024-04-09,56,Frozen,in-stock,2024-06-22 14:56:40.578 Z,457,4521,"4,251914442552210",6100,"23,623747772164100","20,838000875895900",419,789,2024-02-24,2024-06-02
6346,prod-00610,14,1415,2024-09-05,12,Frozen,backordered,2024-08-17 14:56:40.609 Z,225,1415,"1,6658117675522700",3924,"42,78691367445260","28,607263288585000",268,253,2024-07-06,2024-11-16
6708,prod-00610,19,4195,2024-08-03,64,Temperature Controlled,backordered,2024-06-19 14:56:40.612 Z,887,4195,"1,8704321358722500",1535,"42,73523081528120","0,42786107200504500",390,108,2024-02-08,2024-09-15
7778,prod-00610,22,4640,2024-06-26,97,Ambient,in-stock,2024-08-18 14:56:40.622 Z,977,4640,"4,927699015817870",8200,"40,442765960176700","1,7143258896868200",240,355,2024-04-12,2024-07-26
8748,prod-00610,36,1846,2024-01-24,66,Temperature Controlled,backordered,2024-04-19 14:56:40.631 Z,298,1846,"4,328184621144590",75,"18,277089864537600","11,598681366926300",449,595,2023-10-03,2024-03-10
9356,prod-00610,17,1597,2024-09-02,98,Frozen,backordered,2024-07-22 14:56:40.636 Z,551,1597,"1,1173295112436500",2305,"2,1762018297292600","25,045796206664100",472,632,2024-05-19,2024-10-29
11541,prod-00610,17,1094,2024-08-22,58,Temperature Controlled,backordered,2024-05-06 14:56:40.655 Z,217,1094,"2,908057671852170",5990,"6,079645711898330","26,3092401283162",29,503,2024-07-02,2024-09-26
15683,prod-00610,47,1524,2024-06-04,16,Frozen,in-stock,2024-07-22 14:56:40.679 Z,695,1524,"4,719633194357300",5782,"12,470992380871100","6,8808089756594600",390,448,2024-03-16,2024-08-20
15989,prod-00610,25,1353,2024-04-04,4,Ambient,in-stock,2024-04-08 14:56:40.681 Z,349,1353,"3,6934000568947100",9251,"30,676508326577700","0,9304281253859540",436,350,2023-10-20,2024-05-04
16591,prod-00610,30,1045,2024-02-08,96,Ambient,in-stock,2024-08-21 14:56:40.702 Z,457,1045,"1,4027252703244200",6785,"43,22759500790170","12,262472998609900",214,545,2023-12-11,2024-04-08
16749,prod-00610,31,3077,2024-12-19,79,Temperature Controlled,backordered,2024-05-03 14:56:40.703 Z,226,3077,"2,246646383509960",2127,"31,83029625244790","5,159930422513290",101,577,2024-10-02,2025-02-08
17147,prod-00610,37,4326,2024-12-07,92,Temperature Controlled,in-stock,2024-03-16 14:56:40.707 Z,899,4326,"1,9450054067986600",6470,"25,4311214289692","28,254664333152100",225,39,2024-11-02,2025-01-12
17802,prod-00610,14,1966,2024-12-22,97,Frozen,in-stock,2024-03-26 14:56:40.713 Z,218,1966,"3,076745496268990",3749,"10,952915586083900","24,754391400701500",221,136,2024-10-17,2025-03-13
18537,prod-00610,46,4141,2024-10-14,60,Ambient,backordered,2024-08-17 14:56:40.720 Z,827,4141,"4,322573211237570",5140,"23,536096331896900","2,349550700163510",95,908,2024-06-25,2024-12-05
19781,prod-00610,12,4017,2024-05-24,12,Temperature Controlled,backordered,2024-08-26 14:56:40.735 Z,604,4017,"2,888078856536330",1032,"20,859777231723900","10,588049105901000",255,552,2024-03-22,2024-08-02
5,prod-00529,19,974,2024-05-14,1,Frozen,in-stock,2024-04-23 14:56:40.567 Z,144,974,"3,186294718373570",9202,"36,15351151438790","0,002633875679541880",131,21,2024-02-27,2024-07-19
2310,prod-00529,3,2683,2024-10-12,94,Temperature Controlled,in-stock,2024-04-09 14:56:40.579 Z,250,2683,"1,734705731666640",1684,"9,196893783094530","19,248288400563900",55,202,2024-09-03,2024-12-16
4529,prod-00529,31,4247,2024-02-15,92,Frozen,in-stock,2024-06-19 14:56:40.592 Z,115,4247,"3,0589261485228600",4746,"17,68420587082600","18,60418300883800",72,64,2023-12-05,2024-04-06
5078,prod-00529,41,3193,2024-01-03,5,Frozen,backordered,2024-05-14 14:56:40.594 Z,420,3193,"4,990056320905310",6682,"8,40906533347369","13,954628243814500",29,263,2023-09-08,2024-03-23
5301,prod-00529,12,4063,2024-03-03,38,Frozen,in-stock,2024-07-27 14:56:40.600 Z,568,4063,"1,743047122757090",5023,"7,4077879661777100","27,270568896642200",63,578,2023-09-20,2024-05-31
7640,prod-00529,40,4580,2024-07-22,88,Temperature Controlled,backordered,2024-04-29 14:56:40.621 Z,431,4580,"1,7905785505832800",7277,"29,742539293967500","3,087080119906990",60,40,2024-04-13,2024-10-16
9869,prod-00529,43,4047,2024-08-22,57,Ambient,in-stock,2024-05-04 14:56:40.641 Z,978,4047,"1,2845373255275700",5780,"29,417178344341000","22,90861143181140",181,116,2024-04-05,2024-10-15
10023,prod-00529,7,1379,2024-10-28,78,Frozen,backordered,2024-08-07 14:56:40.643 Z,220,1379,"4,090185381279030",4435,"42,16819075511490","24,067321696337700",398,363,2024-09-13,2025-01-07
10744,prod-00529,12,4647,2024-11-26,82,Frozen,backordered,2024-07-27 14:56:40.649 Z,468,4647,"2,7816802211229700",486,"22,908101381739600","8,65139442418414",359,825,2024-09-06,2025-01-20
13130,prod-00529,32,3997,2024-05-19,30,Temperature Controlled,backordered,2024-04-09 14:56:40.664 Z,662,3997,"4,638527239889890",3905,"10,1460120909392","18,814751759409200",409,634,2023-11-27,2024-08-13
13135,prod-00529,28,1446,2024-06-15,22,Temperature Controlled,backordered,2024-07-19 14:56:40.664 Z,208,1446,"1,3544044130969800",9508,"35,47266683580290","10,859553650376100",484,969,2024-05-15,2024-09-05
13749,prod-00529,29,2424,2024-07-29,44,Frozen,backordered,2024-05-27 14:56:40.668 Z,921,2424,"2,6245250063892000",6336,"18,578785642773900","27,72484962254090",168,310,2024-05-01,2024-10-14
14130,prod-00529,1,1916,2024-12-11,65,Ambient,backordered,2024-03-05 14:56:40.670 Z,840,1916,"2,2908979468821500",9609,"13,193607628877200","7,505160329672210",76,367,2024-10-16,2025-01-18
16974,prod-00529,44,3861,2024-10-21,11,Ambient,backordered,2024-04-23 14:56:40.705 Z,323,3861,"1,6795817980477000",6644,"40,94853066174840","23,460187611540300",384,186,2024-04-29,2024-12-09
17938,prod-00529,40,2872,2024-02-02,1,Ambient,in-stock,2024-05-17 14:56:40.715 Z,979,2872,"1,161320276929830",6209,"33,52540529268520","19,626574046451600",397,794,2023-11-30,2024-04-06
18016,prod-00529,47,4337,2024-11-13,48,Ambient,in-stock,2024-06-17 14:56:40.715 Z,943,4337,"2,467872962997290",2445,"25,406018949088100","12,369993521968300",339,260,2024-07-23,2025-02-05
6,prod-00743,14,1754,2024-04-20,81,Frozen,in-stock,2024-08-01 14:56:40.567 Z,918,1754,"3,732002263907500",5418,"28,716535054807100","2,3018472110435000",118,886,2023-10-26,2024-06-02
536,prod-00743,41,2502,2024-08-26,11,Frozen,backordered,2024-06-16 14:56:40.570 Z,616,2502,"1,0828308238647400",2306,"27,764357645474600","3,1203606890201100",214,768,2024-06-01,2024-10-30
1518,prod-00743,29,2677,2024-02-02,44,Frozen,backordered,2024-07-06 14:56:40.576 Z,72,2677,"3,4301837729632700",5985,"37,45797122577510","23,409432861033600",109,979,2023-08-11,2024-03-23
1960,prod-00743,18,346,2024-01-28,81,Ambient,backordered,2024-05-25 14:56:40.578 Z,612,346,"1,1598878996154400",4292,"19,057091855214600","5,428677556278360",286,52,2023-11-10,2024-04-15
2590,prod-00743,24,2479,2024-09-12,33,Ambient,backordered,2024-06-11 14:56:40.581 Z,488,2479,"2,6778269999472000",4519,"21,081025822112900","29,374486104256300",188,396,2024-07-18,2024-11-08
2786,prod-00743,38,2362,2024-02-21,35,Temperature Controlled,backordered,2024-05-10 14:56:40.582 Z,787,2362,"1,6984047622204600",620,"3,7817795258515300","10,603331582427000",225,418,2023-09-24,2024-04-15
6123,prod-00743,31,3363,2024-06-16,12,Frozen,backordered,2024-07-10 14:56:40.607 Z,539,3363,"4,562993708380340",6118,"41,87023010564780","13,233821386056700",303,486,2024-02-15,2024-08-28
7768,prod-00743,15,1050,2024-02-29,56,Ambient,backordered,2024-05-18 14:56:40.622 Z,777,1050,"3,472728136635390",254,"14,43455756694400","27,784218550577500",198,879,2024-01-13,2024-05-10
7873,prod-00743,7,1956,2024-11-17,51,Frozen,backordered,2024-03-09 14:56:40.623 Z,688,1956,"1,3252230074193700",8536,"1,8325573400435500","1,1723896224958400",350,997,2024-10-17,2025-01-03
8538,prod-00743,27,2071,2024-05-06,63,Ambient,backordered,2024-08-19 14:56:40.629 Z,477,2071,"3,6151113650864200",8377,"10,57501713006760","20,13080747656550",116,910,2024-02-19,2024-07-01
9221,prod-00743,3,1533,2024-11-28,92,Temperature Controlled,in-stock,2024-06-13 14:56:40.635 Z,776,1533,"1,9082898709434700",4584,"43,8788368330658","20,5151503724173",352,891,2024-08-09,2025-01-05
9611,prod-00743,35,2820,2024-12-19,10,Temperature Controlled,in-stock,2024-07-01 14:56:40.639 Z,839,2820,"1,021600449540590",2050,"49,08663943284060","13,279098526951400",201,826,2024-08-14,2025-01-30
9730,prod-00743,48,612,2024-10-12,17,Frozen,in-stock,2024-05-25 14:56:40.640 Z,98,612,"2,8682917177836100",8402,"3,6366846134388700","25,16297653264080",187,438,2024-04-20,2024-11-18
9854,prod-00743,9,1942,2024-11-10,100,Ambient,in-stock,2024-05-24 14:56:40.641 Z,189,1942,"3,559093000927090",4125,"20,460913559192800","1,977035884098220",222,905,2024-08-17,2024-12-11
9856,prod-00743,17,1334,2024-09-07,63,Frozen,in-stock,2024-04-28 14:56:40.641 Z,80,1334,"2,6797229328425600",8463,"1,5152161127168800","16,294481910163000",444,314,2024-03-24,2024-11-29
10887,prod-00743,42,2775,2024-04-12,75,Temperature Controlled,in-stock,2024-05-11 14:56:40.650 Z,515,2775,"4,147404757637640",8457,"9,397868002675180","1,1859498392636800",304,206,2024-01-24,2024-07-06
11330,prod-00743,1,1565,2024-10-16,99,Ambient,backordered,2024-04-25 14:56:40.653 Z,681,1565,"4,8837688348466200",9931,"12,123874053333400","18,796506948249200",301,739,2024-09-06,2024-12-21
11496,prod-00743,2,1061,2024-10-14,44,Frozen,in-stock,2024-04-24 14:56:40.654 Z,738,1061,"2,4974823948755500",1905,"13,809624665026100","6,1084778392806",100,432,2024-05-10,2024-11-24
11674,prod-00743,47,731,2024-10-23,29,Temperature Controlled,backordered,2024-05-06 14:56:40.656 Z,282,731,"3,777483519844430",8195,"35,000258352154500","8,957493947658450",391,982,2024-08-13,2025-01-15
12253,prod-00743,28,647,2024-12-24,93,Frozen,backordered,2024-05-07 14:56:40.660 Z,956,647,"4,855128172454040",6500,"24,221688966688200","10,784646637179400",355,957,2024-08-21,2025-02-20
12373,prod-00743,32,3202,2024-10-15,9,Ambient,in-stock,2024-08-09 14:56:40.660 Z,297,3202,"3,876852369806160",8970,"20,745840047749000","12,936134422323100",423,263,2024-04-19,2024-12-10
15224,prod-00743,3,3627,2024-01-23,28,Ambient,backordered,2024-03-20 14:56:40.677 Z,459,3627,"3,4939923795253600",6876,"26,727760422973900","13,856349133144600",159,223,2023-12-15,2024-02-26
15256,prod-00743,21,2700,2024-12-06,95,Temperature Controlled,backordered,2024-07-10 14:56:40.677 Z,412,2700,"1,691097095892150",2927,"47,469931284336800","24,854789185374300",53,735,2024-07-02,2025-01-12
15963,prod-00743,43,757,2024-12-15,80,Frozen,in-stock,2024-06-10 14:56:40.681 Z,666,757,"4,460998585321560",5608,"16,232214401159500","14,290319316783600",61,909,2024-11-15,2025-03-04
18219,prod-00743,18,1448,2024-01-11,69,Ambient,backordered,2024-07-09 14:56:40.717 Z,101,1448,"2,8971112589118300",4571,"11,232093621566100","3,8059593750884900",436,456,2023-11-05,2024-03-10
18315,prod-00743,6,146,2024-12-25,55,Temperature Controlled,backordered,2024-06-03 14:56:40.718 Z,706,146,"1,8025071413733300",7577,"26,684291576348300","22,582055087223300",456,233,2024-10-12,2025-03-14
7,prod-00038,23,4512,2024-08-31,85,Temperature Controlled,backordered,2024-07-25 14:56:40.567 Z,190,4512,"1,4708015280240500",4381,"3,890052094558740","18,14161565499220",452,230,2024-06-07,2024-10-23
679,prod-00038,23,4078,2024-02-17,83,Frozen,backordered,2024-04-02 14:56:40.571 Z,71,4078,"2,7742023148866900",8903,"19,449958169648700","18,337891785732900",398,892,2023-11-04,2024-03-25
1240,prod-00038,31,4702,2024-06-04,66,Frozen,in-stock,2024-07-21 14:56:40.574 Z,481,4702,"3,0228097118091000",9236,"36,681904739099600","29,521993352740500",442,998,2024-03-20,2024-08-21
3801,prod-00038,48,982,2024-09-03,52,Temperature Controlled,backordered,2024-07-25 14:56:40.587 Z,318,982,"2,1005983049773300",6222,"49,01144593525170","11,823674675375800",362,600,2024-07-14,2024-10-10
5130,prod-00038,1,1188,2024-05-23,75,Frozen,backordered,2024-04-08 14:56:40.595 Z,542,1188,"4,388170004055180",3385,"26,252578429256400","9,402045440907130",478,292,2024-04-18,2024-07-24
5526,prod-00038,39,4286,2024-12-22,100,Ambient,in-stock,2024-04-10 14:56:40.602 Z,565,4286,"3,975206306614940",9768,"4,732620134955820","20,680917397480500",256,92,2024-08-29,2025-02-24
5631,prod-00038,25,4018,2024-08-08,11,Temperature Controlled,in-stock,2024-08-17 14:56:40.603 Z,980,4018,"2,6902892498218100",2017,"24,688311537410400","2,357912008517260",313,405,2024-02-29,2024-10-17
6872,prod-00038,36,2327,2024-10-05,78,Temperature Controlled,in-stock,2024-08-09 14:56:40.614 Z,784,2327,"4,338759264521680",5576,"43,633764089814","2,1250667241457300",279,245,2024-05-15,2024-12-14
9291,prod-00038,46,1223,2024-07-31,10,Frozen,backordered,2024-06-15 14:56:40.636 Z,209,1223,"1,4997773272095700",8636,"49,460307208282000","7,994405168122340",193,350,2024-05-21,2024-10-06
9823,prod-00038,28,2028,2024-09-22,62,Frozen,in-stock,2024-03-17 14:56:40.641 Z,863,2028,"1,062457725360480",7855,"27,975073991916900","9,222883972934560",430,53,2024-05-15,2024-11-21
