INVENTORY_ID,REORDER_LEVEL,PRODUCT_ID,QUANTITY_IN_STOCK,WAREHOUSE_ID,RATING,STOCK_LEVEL,SALES_VOLUME,RESTOCK_DATE,WEIGHT,SUPPLIER_ID,DISCOUNTS,STORAGE_CONDITION,SAFETY_STOCK,INVENTORY_STATUS,AVERAGE_MONTHLY_DEMAND,LAST_AUDIT_DATE,LAST_RESTOCK_DATE,NEXT_RESTOCK_DATE
1212,937,prod-00662,3038,44,"3,012141303458610",3038,9399,2024-08-29,"2,813091469492720",28,"3,9969676628644900",Frozen,58,backordered,433,2024-03-30 14:56:40.574 Z,2024-06-05,2024-10-18
2270,157,prod-00662,4694,40,"3,6601736964572100",4694,8302,2024-08-28,"7,610366861504810",7,"9,164231605849710",Temperature Controlled,388,backordered,20,2024-08-25 14:56:40.579 Z,2024-06-29,2024-11-04
2319,784,prod-00662,4840,15,"2,003907550962970",4840,496,2024-08-23,"45,23464928422280",9,"25,956797622198300",Temperature Controlled,467,in-stock,259,2024-05-22 14:56:40.579 Z,2024-07-10,2024-10-16
5583,924,prod-00662,2952,34,"1,7088702567257100",2952,3022,2024-02-22,"44,344585113786900",71,"12,818948408089200",Ambient,388,backordered,236,2024-05-09 14:56:40.602 Z,2023-09-01,2024-05-07
7031,809,prod-00662,2006,10,"1,0337681268403000",2006,9720,2024-08-16,"29,563408141051000",95,"26,626207634976000",Temperature Controlled,97,backordered,773,2024-07-24 14:56:40.615 Z,2024-05-04,2024-10-07
8121,50,prod-00662,2477,29,"4,524807250757990",2477,3779,2024-12-19,"14,335910547721600",26,"11,492347229465600",Temperature Controlled,413,in-stock,84,2024-03-26 14:56:40.625 Z,2024-09-25,2025-02-15
8897,562,prod-00662,1873,31,"1,4382305779220300",1873,9200,2024-10-12,"26,59789530472940",50,"17,491187329446200",Ambient,364,backordered,23,2024-06-13 14:56:40.632 Z,2024-06-15,2024-11-25
11767,478,prod-00662,2481,2,"4,906659937920370",2481,203,2024-08-05,"27,77059253304490",32,"7,648108520408600",Ambient,197,in-stock,641,2024-04-09 14:56:40.656 Z,2024-02-10,2024-09-20
14646,998,prod-00662,3911,38,"2,1755825431982300",3911,2389,2024-01-14,"39,16746957692340",10,"15,080692068964200",Ambient,493,backordered,516,2024-04-10 14:56:40.673 Z,2023-11-03,2024-03-24
15527,878,prod-00662,2989,12,"2,208273869391860",2989,1235,2024-07-23,"4,106542869599380",90,"17,107910821403900",Temperature Controlled,187,backordered,298,2024-08-11 14:56:40.678 Z,2024-05-11,2024-08-22
15533,449,prod-00662,1504,35,"1,2887016948004000",1504,3418,2024-06-08,"5,976593463077530",94,"10,23488061443270",Temperature Controlled,166,backordered,868,2024-07-07 14:56:40.678 Z,2024-02-14,2024-07-09
16013,777,prod-00662,148,28,"2,1032152805530900",148,6226,2024-06-02,"30,918747056270600",73,"21,410901394158000",Temperature Controlled,474,backordered,164,2024-07-05 14:56:40.681 Z,2024-03-05,2024-08-05
16178,705,prod-00662,3557,50,"4,018378637764890",3557,4743,2024-08-29,"45,01241184311890",45,"22,575937036215700",Temperature Controlled,458,in-stock,337,2024-04-18 14:56:40.682 Z,2024-04-26,2024-10-03
17711,398,prod-00662,2066,39,"3,184373667957300",2066,4034,2024-12-21,"10,338808861196200",87,"4,440222271231210",Temperature Controlled,411,in-stock,541,2024-08-26 14:56:40.712 Z,2024-07-16,2025-02-20
18101,525,prod-00662,2475,18,"4,214071652328630",2475,8380,2024-05-15,"19,4799225774928",22,"10,87346261784070",Temperature Controlled,404,backordered,115,2024-06-14 14:56:40.716 Z,2023-12-17,2024-07-18
3,214,prod-00541,958,31,"2,821539495577750",958,4943,2024-10-10,"39,35818087009160",63,"29,378667909968400",Ambient,496,in-stock,127,2024-07-30 14:56:40.567 Z,2024-08-12,2024-12-19
135,712,prod-00541,3474,9,"2,970944229325820",3474,5827,2024-01-09,"21,2631522196721",42,"28,174223793646800",Frozen,142,in-stock,250,2024-03-16 14:56:40.568 Z,2023-10-12,2024-03-09
848,611,prod-00541,3879,39,"4,605636576762920",3879,5092,2024-08-10,"20,15011236142340",52,"25,756649536984200",Ambient,421,in-stock,921,2024-06-05 14:56:40.572 Z,2024-04-04,2024-09-30
853,724,prod-00541,2360,14,"1,5548460149293200",2360,5896,2024-02-19,"36,35779378396460",57,"2,1406793490004800",Temperature Controlled,97,in-stock,822,2024-08-15 14:56:40.572 Z,2023-09-13,2024-04-23
1097,630,prod-00541,2546,34,"2,145809778521670",2546,3141,2024-03-19,"48,621593965958000",51,"16,619493337317400",Ambient,361,in-stock,311,2024-03-09 14:56:40.573 Z,2024-01-15,2024-05-24
1636,926,prod-00541,591,24,"3,9453405766820000",591,2781,2024-07-06,"1,2860282760573900",89,"13,68167200474000",Ambient,147,backordered,435,2024-05-01 14:56:40.576 Z,2024-02-27,2024-09-03
2032,300,prod-00541,3908,36,"2,126550904781120",3908,1415,2024-05-31,"34,11077647467520",27,"29,138878893070100",Frozen,219,backordered,270,2024-08-08 14:56:40.578 Z,2024-05-01,2024-08-04
2111,982,prod-00541,4660,9,"1,5414819621298300",4660,5296,2024-08-05,"22,21679333820380",8,"21,12390053119160",Frozen,178,backordered,672,2024-07-15 14:56:40.578 Z,2024-05-17,2024-10-08
2169,481,prod-00541,3814,34,"4,340193570541260",3814,4399,2024-02-20,"25,180736599246700",56,"3,6199001731223100",Temperature Controlled,83,in-stock,548,2024-03-14 14:56:40.579 Z,2023-10-27,2024-04-11
2746,76,prod-00541,953,12,"4,228919381867430",953,1998,2024-03-29,"49,25947344971340",18,"2,9271337657626900",Temperature Controlled,465,in-stock,861,2024-04-01 14:56:40.581 Z,2024-02-23,2024-06-25
3054,609,prod-00541,1408,31,"4,470229319909580",1408,912,2024-08-21,"25,746919203775200",53,"15,530014438876800",Temperature Controlled,292,backordered,423,2024-03-03 14:56:40.583 Z,2024-04-06,2024-11-06
3991,883,prod-00541,942,3,"4,581539247938660",942,4678,2024-02-03,"20,68079937914170",42,"22,072441219541000",Temperature Controlled,329,in-stock,976,2024-07-20 14:56:40.588 Z,2023-09-25,2024-03-19
5501,874,prod-00541,1766,10,"3,3938661093170700",1766,9470,2024-02-25,"6,584315898981790",96,"23,09251657900260",Temperature Controlled,276,backordered,200,2024-06-29 14:56:40.601 Z,2023-11-24,2024-04-05
5860,788,prod-00541,2493,22,"2,835528328634930",2493,1786,2024-11-07,"28,544681995413900",82,"9,70162188267295",Temperature Controlled,400,backordered,789,2024-03-12 14:56:40.605 Z,2024-08-15,2024-12-22
7041,648,prod-00541,1798,5,"1,9243406011338200",1798,5421,2024-09-05,"40,18021531185810",35,"17,643195613665000",Ambient,136,in-stock,536,2024-06-04 14:56:40.615 Z,2024-06-30,2024-10-27
7249,245,prod-00541,2510,39,"2,2751282122336800",2510,5669,2024-11-09,"9,037501510376450",18,"5,234208099415230",Frozen,450,backordered,36,2024-06-27 14:56:40.617 Z,2024-06-01,2024-12-10
10409,200,prod-00541,1724,40,"2,959596178172330",1724,5112,2024-06-12,"43,6434225105351",54,"15,598439913057300",Ambient,311,backordered,203,2024-07-13 14:56:40.646 Z,2024-02-09,2024-08-24
10470,553,prod-00541,3081,33,"2,6348066389387600",3081,5136,2024-03-11,"15,961662645355500",34,"28,00182355847480",Ambient,302,backordered,601,2024-06-05 14:56:40.647 Z,2024-01-17,2024-04-16
11104,152,prod-00541,1595,35,"3,169302302737370",1595,6774,2024-10-24,"22,495995257937000",14,"26,49294666856650",Temperature Controlled,110,in-stock,200,2024-03-24 14:56:40.652 Z,2024-09-01,2024-11-24
12648,465,prod-00541,4756,9,"3,2396371316263400",4756,5177,2024-04-30,"19,458727914200100",1,"9,132591988710890",Ambient,418,in-stock,360,2024-08-24 14:56:40.662 Z,2023-11-03,2024-06-08
12670,164,prod-00541,332,5,"4,882075882491230",332,9675,2024-06-04,"2,548915306097850",97,"21,701075369133000",Frozen,358,backordered,719,2024-06-17 14:56:40.662 Z,2024-03-18,2024-08-22
12897,296,prod-00541,2627,40,"1,6485311784641600",2627,1716,2024-03-06,"30,111207825889100",70,"18,495580163095200",Ambient,211,backordered,263,2024-03-13 14:56:40.663 Z,2023-12-30,2024-04-22
14290,204,prod-00541,1534,33,"4,6547110566131200",1534,1235,2024-02-10,"41,182748266935100",43,"9,110054198260810",Frozen,231,in-stock,323,2024-03-08 14:56:40.671 Z,2023-12-01,2024-03-23
15135,783,prod-00541,4056,13,"3,8251568745416100",4056,4284,2024-06-19,"11,453659115613600",30,"18,564529483735700",Frozen,224,backordered,658,2024-08-15 14:56:40.676 Z,2024-04-24,2024-08-15
17693,722,prod-00541,1727,26,"3,4867539477659600",1727,9178,2024-05-25,"5,872231050127520",84,"12,60354693719980",Ambient,409,backordered,984,2024-04-17 14:56:40.712 Z,2023-12-22,2024-08-08
17737,890,prod-00541,1213,35,"1,956316575868740",1213,9472,2024-11-13,"0,8043634075376140",48,"22,228431867384300",Frozen,438,in-stock,202,2024-04-28 14:56:40.713 Z,2024-09-19,2025-01-11
17844,424,prod-00541,1977,6,"1,6546607836721900",1977,7940,2024-06-02,"43,7141596518772",65,"13,858012816305700",Ambient,36,backordered,242,2024-05-07 14:56:40.714 Z,2024-03-25,2024-07-09
18365,462,prod-00541,4511,41,"1,8052780987911600",4511,6823,2024-09-19,"35,58095916258740",75,"24,876113052757000",Frozen,34,backordered,780,2024-03-12 14:56:40.718 Z,2024-04-19,2024-10-31
4,845,prod-00610,3090,24,"4,940871317920210",3090,3313,2024-03-29,"43,5003746220772",24,"2,8328666522978000",Frozen,379,in-stock,987,2024-08-22 14:56:40.567 Z,2024-01-15,2024-05-30
1340,330,prod-00610,4374,28,"1,748230086574350",4374,9669,2024-11-21,"24,13998454426610",69,"29,686185263548200",Ambient,349,backordered,827,2024-05-08 14:56:40.574 Z,2024-09-25,2025-01-24
1458,895,prod-00610,1179,29,"4,94458366218106",1179,7683,2024-08-05,"44,58219346369770",98,"14,960695321182400",Ambient,492,in-stock,779,2024-07-28 14:56:40.575 Z,2024-07-01,2024-10-17
2137,457,prod-00610,4521,49,"4,251914442552210",4521,6100,2024-04-09,"23,623747772164100",56,"20,838000875895900",Frozen,419,in-stock,789,2024-06-22 14:56:40.578 Z,2024-02-24,2024-06-02
6346,225,prod-00610,1415,14,"1,6658117675522700",1415,3924,2024-09-05,"42,78691367445260",12,"28,607263288585000",Frozen,268,backordered,253,2024-08-17 14:56:40.609 Z,2024-07-06,2024-11-16
6708,887,prod-00610,4195,19,"1,8704321358722500",4195,1535,2024-08-03,"42,73523081528120",64,"0,42786107200504500",Temperature Controlled,390,backordered,108,2024-06-19 14:56:40.612 Z,2024-02-08,2024-09-15
7778,977,prod-00610,4640,22,"4,927699015817870",4640,8200,2024-06-26,"40,442765960176700",97,"1,7143258896868200",Ambient,240,in-stock,355,2024-08-18 14:56:40.622 Z,2024-04-12,2024-07-26
8748,298,prod-00610,1846,36,"4,328184621144590",1846,75,2024-01-24,"18,277089864537600",66,"11,598681366926300",Temperature Controlled,449,backordered,595,2024-04-19 14:56:40.631 Z,2023-10-03,2024-03-10
9356,551,prod-00610,1597,17,"1,1173295112436500",1597,2305,2024-09-02,"2,1762018297292600",98,"25,045796206664100",Frozen,472,backordered,632,2024-07-22 14:56:40.636 Z,2024-05-19,2024-10-29
11541,217,prod-00610,1094,17,"2,908057671852170",1094,5990,2024-08-22,"6,079645711898330",58,"26,3092401283162",Temperature Controlled,29,backordered,503,2024-05-06 14:56:40.655 Z,2024-07-02,2024-09-26
15683,695,prod-00610,1524,47,"4,719633194357300",1524,5782,2024-06-04,"12,470992380871100",16,"6,8808089756594600",Frozen,390,in-stock,448,2024-07-22 14:56:40.679 Z,2024-03-16,2024-08-20
15989,349,prod-00610,1353,25,"3,6934000568947100",1353,9251,2024-04-04,"30,676508326577700",4,"0,9304281253859540",Ambient,436,in-stock,350,2024-04-08 14:56:40.681 Z,2023-10-20,2024-05-04
16591,457,prod-00610,1045,30,"1,4027252703244200",1045,6785,2024-02-08,"43,22759500790170",96,"12,262472998609900",Ambient,214,in-stock,545,2024-08-21 14:56:40.702 Z,2023-12-11,2024-04-08
16749,226,prod-00610,3077,31,"2,246646383509960",3077,2127,2024-12-19,"31,83029625244790",79,"5,159930422513290",Temperature Controlled,101,backordered,577,2024-05-03 14:56:40.703 Z,2024-10-02,2025-02-08
17147,899,prod-00610,4326,37,"1,9450054067986600",4326,6470,2024-12-07,"25,4311214289692",92,"28,254664333152100",Temperature Controlled,225,in-stock,39,2024-03-16 14:56:40.707 Z,2024-11-02,2025-01-12
17802,218,prod-00610,1966,14,"3,076745496268990",1966,3749,2024-12-22,"10,952915586083900",97,"24,754391400701500",Frozen,221,in-stock,136,2024-03-26 14:56:40.713 Z,2024-10-17,2025-03-13
18537,827,prod-00610,4141,46,"4,322573211237570",4141,5140,2024-10-14,"23,536096331896900",60,"2,349550700163510",Ambient,95,backordered,908,2024-08-17 14:56:40.720 Z,2024-06-25,2024-12-05
19781,604,prod-00610,4017,12,"2,888078856536330",4017,1032,2024-05-24,"20,859777231723900",12,"10,588049105901000",Temperature Controlled,255,backordered,552,2024-08-26 14:56:40.735 Z,2024-03-22,2024-08-02
5,144,prod-00529,974,19,"3,186294718373570",974,9202,2024-05-14,"36,15351151438790",1,"0,002633875679541880",Frozen,131,in-stock,21,2024-04-23 14:56:40.567 Z,2024-02-27,2024-07-19
2310,250,prod-00529,2683,3,"1,734705731666640",2683,1684,2024-10-12,"9,196893783094530",94,"19,248288400563900",Temperature Controlled,55,in-stock,202,2024-04-09 14:56:40.579 Z,2024-09-03,2024-12-16
4529,115,prod-00529,4247,31,"3,0589261485228600",4247,4746,2024-02-15,"17,68420587082600",92,"18,60418300883800",Frozen,72,in-stock,64,2024-06-19 14:56:40.592 Z,2023-12-05,2024-04-06
5078,420,prod-00529,3193,41,"4,990056320905310",3193,6682,2024-01-03,"8,40906533347369",5,"13,954628243814500",Frozen,29,backordered,263,2024-05-14 14:56:40.594 Z,2023-09-08,2024-03-23
5301,568,prod-00529,4063,12,"1,743047122757090",4063,5023,2024-03-03,"7,4077879661777100",38,"27,270568896642200",Frozen,63,in-stock,578,2024-07-27 14:56:40.600 Z,2023-09-20,2024-05-31
7640,431,prod-00529,4580,40,"1,7905785505832800",4580,7277,2024-07-22,"29,742539293967500",88,"3,087080119906990",Temperature Controlled,60,backordered,40,2024-04-29 14:56:40.621 Z,2024-04-13,2024-10-16
9869,978,prod-00529,4047,43,"1,2845373255275700",4047,5780,2024-08-22,"29,417178344341000",57,"22,90861143181140",Ambient,181,in-stock,116,2024-05-04 14:56:40.641 Z,2024-04-05,2024-10-15
10023,220,prod-00529,1379,7,"4,090185381279030",1379,4435,2024-10-28,"42,16819075511490",78,"24,067321696337700",Frozen,398,backordered,363,2024-08-07 14:56:40.643 Z,2024-09-13,2025-01-07
10744,468,prod-00529,4647,12,"2,7816802211229700",4647,486,2024-11-26,"22,908101381739600",82,"8,65139442418414",Frozen,359,backordered,825,2024-07-27 14:56:40.649 Z,2024-09-06,2025-01-20
13130,662,prod-00529,3997,32,"4,638527239889890",3997,3905,2024-05-19,"10,1460120909392",30,"18,814751759409200",Temperature Controlled,409,backordered,634,2024-04-09 14:56:40.664 Z,2023-11-27,2024-08-13
13135,208,prod-00529,1446,28,"1,3544044130969800",1446,9508,2024-06-15,"35,47266683580290",22,"10,859553650376100",Temperature Controlled,484,backordered,969,2024-07-19 14:56:40.664 Z,2024-05-15,2024-09-05
13749,921,prod-00529,2424,29,"2,6245250063892000",2424,6336,2024-07-29,"18,578785642773900",44,"27,72484962254090",Frozen,168,backordered,310,2024-05-27 14:56:40.668 Z,2024-05-01,2024-10-14
14130,840,prod-00529,1916,1,"2,2908979468821500",1916,9609,2024-12-11,"13,193607628877200",65,"7,505160329672210",Ambient,76,backordered,367,2024-03-05 14:56:40.670 Z,2024-10-16,2025-01-18
16974,323,prod-00529,3861,44,"1,6795817980477000",3861,6644,2024-10-21,"40,94853066174840",11,"23,460187611540300",Ambient,384,backordered,186,2024-04-23 14:56:40.705 Z,2024-04-29,2024-12-09
17938,979,prod-00529,2872,40,"1,161320276929830",2872,6209,2024-02-02,"33,52540529268520",1,"19,626574046451600",Ambient,397,in-stock,794,2024-05-17 14:56:40.715 Z,2023-11-30,2024-04-06
18016,943,prod-00529,4337,47,"2,467872962997290",4337,2445,2024-11-13,"25,406018949088100",48,"12,369993521968300",Ambient,339,in-stock,260,2024-06-17 14:56:40.715 Z,2024-07-23,2025-02-05
6,918,prod-00743,1754,14,"3,732002263907500",1754,5418,2024-04-20,"28,716535054807100",81,"2,3018472110435000",Frozen,118,in-stock,886,2024-08-01 14:56:40.567 Z,2023-10-26,2024-06-02
536,616,prod-00743,2502,41,"1,0828308238647400",2502,2306,2024-08-26,"27,764357645474600",11,"3,1203606890201100",Frozen,214,backordered,768,2024-06-16 14:56:40.570 Z,2024-06-01,2024-10-30
1518,72,prod-00743,2677,29,"3,4301837729632700",2677,5985,2024-02-02,"37,45797122577510",44,"23,409432861033600",Frozen,109,backordered,979,2024-07-06 14:56:40.576 Z,2023-08-11,2024-03-23
1960,612,prod-00743,346,18,"1,1598878996154400",346,4292,2024-01-28,"19,057091855214600",81,"5,428677556278360",Ambient,286,backordered,52,2024-05-25 14:56:40.578 Z,2023-11-10,2024-04-15
2590,488,prod-00743,2479,24,"2,6778269999472000",2479,4519,2024-09-12,"21,081025822112900",33,"29,374486104256300",Ambient,188,backordered,396,2024-06-11 14:56:40.581 Z,2024-07-18,2024-11-08
2786,787,prod-00743,2362,38,"1,6984047622204600",2362,620,2024-02-21,"3,7817795258515300",35,"10,603331582427000",Temperature Controlled,225,backordered,418,2024-05-10 14:56:40.582 Z,2023-09-24,2024-04-15
6123,539,prod-00743,3363,31,"4,562993708380340",3363,6118,2024-06-16,"41,87023010564780",12,"13,233821386056700",Frozen,303,backordered,486,2024-07-10 14:56:40.607 Z,2024-02-15,2024-08-28
7768,777,prod-00743,1050,15,"3,472728136635390",1050,254,2024-02-29,"14,43455756694400",56,"27,784218550577500",Ambient,198,backordered,879,2024-05-18 14:56:40.622 Z,2024-01-13,2024-05-10
7873,688,prod-00743,1956,7,"1,3252230074193700",1956,8536,2024-11-17,"1,8325573400435500",51,"1,1723896224958400",Frozen,350,backordered,997,2024-03-09 14:56:40.623 Z,2024-10-17,2025-01-03
8538,477,prod-00743,2071,27,"3,6151113650864200",2071,8377,2024-05-06,"10,57501713006760",63,"20,13080747656550",Ambient,116,backordered,910,2024-08-19 14:56:40.629 Z,2024-02-19,2024-07-01
9221,776,prod-00743,1533,3,"1,9082898709434700",1533,4584,2024-11-28,"43,8788368330658",92,"20,5151503724173",Temperature Controlled,352,in-stock,891,2024-06-13 14:56:40.635 Z,2024-08-09,2025-01-05
9611,839,prod-00743,2820,35,"1,021600449540590",2820,2050,2024-12-19,"49,08663943284060",10,"13,279098526951400",Temperature Controlled,201,in-stock,826,2024-07-01 14:56:40.639 Z,2024-08-14,2025-01-30
9730,98,prod-00743,612,48,"2,8682917177836100",612,8402,2024-10-12,"3,6366846134388700",17,"25,16297653264080",Frozen,187,in-stock,438,2024-05-25 14:56:40.640 Z,2024-04-20,2024-11-18
9854,189,prod-00743,1942,9,"3,559093000927090",1942,4125,2024-11-10,"20,460913559192800",100,"1,977035884098220",Ambient,222,in-stock,905,2024-05-24 14:56:40.641 Z,2024-08-17,2024-12-11
9856,80,prod-00743,1334,17,"2,6797229328425600",1334,8463,2024-09-07,"1,5152161127168800",63,"16,294481910163000",Frozen,444,in-stock,314,2024-04-28 14:56:40.641 Z,2024-03-24,2024-11-29
10887,515,prod-00743,2775,42,"4,147404757637640",2775,8457,2024-04-12,"9,397868002675180",75,"1,1859498392636800",Temperature Controlled,304,in-stock,206,2024-05-11 14:56:40.650 Z,2024-01-24,2024-07-06
11330,681,prod-00743,1565,1,"4,8837688348466200",1565,9931,2024-10-16,"12,123874053333400",99,"18,796506948249200",Ambient,301,backordered,739,2024-04-25 14:56:40.653 Z,2024-09-06,2024-12-21
11496,738,prod-00743,1061,2,"2,4974823948755500",1061,1905,2024-10-14,"13,809624665026100",44,"6,1084778392806",Frozen,100,in-stock,432,2024-04-24 14:56:40.654 Z,2024-05-10,2024-11-24
11674,282,prod-00743,731,47,"3,777483519844430",731,8195,2024-10-23,"35,000258352154500",29,"8,957493947658450",Temperature Controlled,391,backordered,982,2024-05-06 14:56:40.656 Z,2024-08-13,2025-01-15
12253,956,prod-00743,647,28,"4,855128172454040",647,6500,2024-12-24,"24,221688966688200",93,"10,784646637179400",Frozen,355,backordered,957,2024-05-07 14:56:40.660 Z,2024-08-21,2025-02-20
12373,297,prod-00743,3202,32,"3,876852369806160",3202,8970,2024-10-15,"20,745840047749000",9,"12,936134422323100",Ambient,423,in-stock,263,2024-08-09 14:56:40.660 Z,2024-04-19,2024-12-10
15224,459,prod-00743,3627,3,"3,4939923795253600",3627,6876,2024-01-23,"26,727760422973900",28,"13,856349133144600",Ambient,159,backordered,223,2024-03-20 14:56:40.677 Z,2023-12-15,2024-02-26
15256,412,prod-00743,2700,21,"1,691097095892150",2700,2927,2024-12-06,"47,469931284336800",95,"24,854789185374300",Temperature Controlled,53,backordered,735,2024-07-10 14:56:40.677 Z,2024-07-02,2025-01-12
15963,666,prod-00743,757,43,"4,460998585321560",757,5608,2024-12-15,"16,232214401159500",80,"14,290319316783600",Frozen,61,in-stock,909,2024-06-10 14:56:40.681 Z,2024-11-15,2025-03-04
18219,101,prod-00743,1448,18,"2,8971112589118300",1448,4571,2024-01-11,"11,232093621566100",69,"3,8059593750884900",Ambient,436,backordered,456,2024-07-09 14:56:40.717 Z,2023-11-05,2024-03-10
18315,706,prod-00743,146,6,"1,8025071413733300",146,7577,2024-12-25,"26,684291576348300",55,"22,582055087223300",Temperature Controlled,456,backordered,233,2024-06-03 14:56:40.718 Z,2024-10-12,2025-03-14
7,190,prod-00038,4512,23,"1,4708015280240500",4512,4381,2024-08-31,"3,890052094558740",85,"18,14161565499220",Temperature Controlled,452,backordered,230,2024-07-25 14:56:40.567 Z,2024-06-07,2024-10-23
679,71,prod-00038,4078,23,"2,7742023148866900",4078,8903,2024-02-17,"19,449958169648700",83,"18,337891785732900",Frozen,398,backordered,892,2024-04-02 14:56:40.571 Z,2023-11-04,2024-03-25
1240,481,prod-00038,4702,31,"3,0228097118091000",4702,9236,2024-06-04,"36,681904739099600",66,"29,521993352740500",Frozen,442,in-stock,998,2024-07-21 14:56:40.574 Z,2024-03-20,2024-08-21
3801,318,prod-00038,982,48,"2,1005983049773300",982,6222,2024-09-03,"49,01144593525170",52,"11,823674675375800",Temperature Controlled,362,backordered,600,2024-07-25 14:56:40.587 Z,2024-07-14,2024-10-10
5130,542,prod-00038,1188,1,"4,388170004055180",1188,3385,2024-05-23,"26,252578429256400",75,"9,402045440907130",Frozen,478,backordered,292,2024-04-08 14:56:40.595 Z,2024-04-18,2024-07-24
5526,565,prod-00038,4286,39,"3,975206306614940",4286,9768,2024-12-22,"4,732620134955820",100,"20,680917397480500",Ambient,256,in-stock,92,2024-04-10 14:56:40.602 Z,2024-08-29,2025-02-24
5631,980,prod-00038,4018,25,"2,6902892498218100",4018,2017,2024-08-08,"24,688311537410400",11,"2,357912008517260",Temperature Controlled,313,in-stock,405,2024-08-17 14:56:40.603 Z,2024-02-29,2024-10-17
6872,784,prod-00038,2327,36,"4,338759264521680",2327,5576,2024-10-05,"43,633764089814",78,"2,1250667241457300",Temperature Controlled,279,in-stock,245,2024-08-09 14:56:40.614 Z,2024-05-15,2024-12-14
9291,209,prod-00038,1223,46,"1,4997773272095700",1223,8636,2024-07-31,"49,460307208282000",10,"7,994405168122340",Frozen,193,backordered,350,2024-06-15 14:56:40.636 Z,2024-05-21,2024-10-06
